k,inertia,silhouette,davies_bouldin,calinski_harabasz
2,382.18319158281383,0.3402187393219483,1.2344445259709529,112.84569551054604
3,239.06737822535683,0.4312807044065016,0.87780436820275,148.71064178103546
4,163.74606517824438,0.4734649055600322,0.7324625232460822,174.06173217452593
5,107.34919986404377,0.5066990886451924,0.7107307617247287,223.7252493455444
6,96.97059347379358,0.461897191657945,0.7581116757768408,201.2727804794909
7,88.47564114812342,0.4104650266183101,0.9142081157945479,185.97247027034047
8,81.20625233228776,0.3823608216137106,1.0303602211542158,175.22999714816694
9,74.49983432298481,0.3321553528791739,1.1269905352630993,168.40730680212974
10,70.12691234324558,0.312840373445983,1.147825869905128,159.51379084761152
